# Tense, modal and word-list pass for batch 8 (the remaining classes).
#
# will  -> present for product behaviour. KEPT for the three genuinely future
#          statements ("expanded in a future documentation phase", "the L1
#          runbook will be published", "will not be reassigned") and inside the
#          `> **Ask the admin:**` decision-point questions, which ask about an
#          action the operator has not taken yet.
# should-> must for a requirement, present tense for behaviour, and the
#          expectation form where a step VERIFIES a value. KEPT in all eight
#          `> **Ask the admin:**` prompts: "When should an account be deleted?"
#          is an interrogative, not the ambiguous modal Google warns about.
# would  -> KEPT: all seven are true conditionals in EEE-SOP-standard.md
#          ("would inject a person name", "would tabulate nothing").
# could  -> KEPT: both are past ability.
# quick  -> KEPT, all seven. Every one means FAST ("quick lookup", "quick
#          overview"), never "this task is easy", which is the sense Google's
#          entry actually bars. Same call as batch 7's `## Action Quick Reference`.
# just   -> "not just X" is "not only X". KEPT where it means recently ("a
#          device that just completed enrollment") or in the idiom "just the same".
# master -> the three prose uses become "primary". The document TITLE "Master
#          Error Code Index" is a heading and stays frozen under Option 1.
# simple/easily -> KEPT: a complexity property and a comparative about which
#          recovery arm is easier, neither a minimizer.
# "We couldn't sign you in." -> KEPT: verbatim UI error string.
#
# regex	replacement
permissions will fail silently	permissions fail silently
in place will halt all	in place halts all
what the administrator will see, what the end user will see	what the administrator sees, what the end user sees
devices will show as Personal ownership	devices show as Personal ownership
the action will be available in the portal but will fail on the device	the action is available in the portal but fails on the device
it will fail to re-provision	it fails to re-provision
Your IT department will provide	Your IT department provides
TPM 1\.2 will always fail with	TPM 1.2 always fail with
ABM account will not appear in ABM	ABM account do not appear in ABM
The device will not appear in your device list	The device does not appear in your device list
in ABM will not appear in Intune	in ABM do not appear in Intune
will have multiple tokens in Intune	have multiple tokens in Intune
it will proceed through standard	it proceeds through standard
the device will not enroll in MDM	the device does not enroll in MDM
New enrollments will fail\.	New enrollments fail.
payload\) will block the release signal	payload) blocks the release signal
device registration will block access to protected resources	device registration block access to protected resources
or compliance will block the user	or compliance block the user
or earlier will not receive the in-place migration behavior	or earlier do not receive the in-place migration behavior
pre-26 devices will result in pre-26 devices	pre-26 devices results in pre-26 devices
on the device will receive an uninstall command	on the device receives an uninstall command
the device will restart but cannot complete re-enrollment	the device restarts but cannot complete re-enrollment
the device will restart at the deadline	the device restarts at the deadline
in the cadence will appear at the scheduled time	in the cadence appears at the scheduled time
enrollment will fail\. Ensure Intune readiness	enrollment fails. Ensure Intune readiness
enrollment will fail\. Ensure network connectivity	enrollment fails. Ensure network connectivity
configuration will not match the shipping device	configuration does not match the shipping device
no assigned profile will reach OOBE	no assigned profile reaches OOBE
it will complete standard Windows setup instead	it completes standard Windows setup instead
this key will not be written	this key is not written
hybrid join deployments will fail at OOBE	hybrid join deployments fail at OOBE
guest Wi-Fi will fail\.	guest Wi-Fi fail.
during provisioning will block the ESP	during provisioning block the ESP
just completed enrollment will show	just completed enrollment shows
registration will match the hardware	registration matches the hardware
from the old record will differ from	from the old record differ from
