# Remaining operations word-list calls.
#
# Kept: "Quick win" (a named benefit, not a claim about task difficulty),
# past-capability "could" ("Pre-Aug-2025 these rings could only contain ..."),
# the quoted phrase "it just re-runs harmlessly", "via" inside H2/H4 headings,
# and "audience: admin" in frontmatter.
#
# regex	replacement
the deferral simply expires	the deferral expires
The actionable form is simply to check both	The practical form is to check both
it was simply never edited	it was never edited
simply does not happen and there is no deadline	does not happen and there is no deadline
source tenant, simply calling	source tenant, calling
not just driver/firmware	not only driver/firmware
\*\*Compliance reporting impact:\*\*	**Compliance reporting effect:**
failure has fleet-wide impact\.	failure has a fleet-wide effect.
a decision with a real blast radius	a far-reaching decision
its blast radius is the whole WUfB deployment ring	its affected area is the whole WUfB deployment ring
to limit blast radius	to limit the affected area
tenants could query but	tenants can query but
compliance settings should migrate to Play Integrity verdicts	compliance settings must migrate to Play Integrity verdicts
